ticket_id,ticket_text,issue_type,urgency_level,product,processed_text,text_length
410,"Can you tell me more about teh FitRun Treadmill warranty? Also, is it available in white? Also, I contacted support on 01 May but got no response.",General Inquiry,High,FitRun Treadmill,tell teh fitrun treadmill warranty also available white also contacted support may got response,146
411,Can't log in to my account. Keeps showing error. Help! Delivery expected by 30 March.,Account Access,Medium,SoundWave 300,cant log account keep showing error help delivery expected march,85
412,I ordered  but got FitRun Treadmill instead. My order number is #58478.,Wrong Item,Low,PowerMax Battery,ordered got fitrun treadmill instead order number,71
413,Can't log in to my account. Keeps showing unknown issue. Help!,Account Access,High,PowerMax Battery,cant log account keep showing unknown issue help,62
414,Payment issue for my FitRun Treadmill. I was debited incorrectly for order #47086.,Billing Problem,Unknown,FitRun Treadmill,payment issue fitrun treadmill debited incorrectly order,82
415,Facing installation issue with Vision LED TV. Setup fails at step 1.,Installation Issue,Low,Vision LED TV,facing installation issue vision led tv setup fails step,68
416,"Facing installation issue with PhotoSnap Cam. Setup fails at step 3. Also, I contacted support on 31 March but got no response.",Installation Issue,Low,PhotoSnap Cam,facing installation issue photosnap cam setup fails step also contacted support march got response,127
417,Facing installation issue with Vision LED TV. Setup fails at step 4.,Installation Issue,Low,Vision LED TV,facing installation issue vision led tv setup fails step,68
418,Order #69448 for  is 2 days late. Ordered on 17 April.,Late Delivery,High,SoundWave 300,order day late ordered april,54
419,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,Medium,FitRun Treadmill,cant log account keep showing captcha failed help,63
420,I ordered  but got ProTab X1 instead. My order number is #74984. Delivery expected by 11 March.,Wrong Item,Medium,PhotoSnap Cam,ordered got protab x instead order number delivery expected march,95
421,Payment issue for my ProTab X1. I was overbilled for order #70251.,Billing Problem,Medium,ProTab X1,payment issue protab x overbilled order,66
422,"Is this item in stock? Also, I contacted support on 25 March but got no response.",General Inquiry,High,Vision LED TV,item stock also contacted support march got response,81
423,,Unknown,High,EcoBreeze AC,,0
424,Payment issue for my ProTab X1. I was underbilled for order #63800.,Billing Problem,High,ProTab X1,payment issue protab x underbilled order,67
425,"Payment issue for my Vision LED TV. I was underbilled for order #65500. Also, I contacted support on 09 April but got no response.",Billing Problem,High,Vision LED TV,payment issue vision led tv underbilled order also contacted support april got response,130
426,Both my  and PhotoSnap Cam are stuck. Both giving issues. Delivery expected by 04 April.,Product Defect,High,EcoBreeze AC,photosnap cam stuck giving issue delivery expected april,88
427,Facing installation issue with SmartWatch V2. Setup fails at step 1.,Installation Issue,Low,SmartWatch V2,facing installation issue smartwatch v setup fails step,68
428,Payment issue for my UltraClean Vacuum. I was debited incorrectly for order #15205.,Billing Problem,Medium,UltraClean Vacuum,payment issue ultraclean vacuum debited incorrectly order,83
429,"I ordered  but got Vision LED TV instead. My order number is #94780. Also, I contacted support on 03 May but got no response.",Unknown,High,RoboChef Blender,ordered got vision led tv instead order number also contacted support may got response,125
430,"Can you tell me more about teh SmartWatch V2 warranty? Also, is it available in black?",General Inquiry,Medium,SmartWatch V2,tell teh smartwatch v warranty also available black,86
431,Facing installation issue with PowerMax Battery. Setup fails at step 2.,Installation Issue,Unknown,PowerMax Battery,facing installation issue powermax battery setup fails step,71
432,Can't log in to my account. Keeps showing error. Help! Delivery expected by 22 March.,Account Access,Low,SoundWave 300,cant log account keep showing error help delivery expected march,85
433,I ordered FitRun Treadmill but got ProTab X1 instead. My order number is #82022.,Wrong Item,High,FitRun Treadmill,ordered fitrun treadmill got protab x instead order number,80
434,RoboChef Blender is stuck. It stopped working after just 8 days.,Product Defect,Medium,RoboChef Blender,robochef blender stuck stopped working day,64
435,Account problem. Assistance needed.,Account Access,High,RoboChef Blender,account problem assistance needed,35
436,I ordered PhotoSnap Cam but got RoboChef Blender instead. My order number is #60642.,Wrong Item,High,PhotoSnap Cam,ordered photosnap cam got robochef blender instead order number,84
437,Can't log in to my account. Keeps showing reset required. Help!,Account Access,High,UltraClean Vacuum,cant log account keep showing reset required help,63
438,Order #17325 for  is 4 days late. Ordered on 29 April.,Late Delivery,Medium,SmartWatch V2,order day late ordered april,54
439,"Payment issue fr mi Vision LED TV. I was charged twice fr order #72740. Also, I contacted support on 29 March but got no response.",Billing Problem,Low,Vision LED TV,payment issue fr mi vision led tv charged twice fr order also contacted support march got response,130
440,"I ordered PowerMax Battery but got PhotoSnap Cam instead. My order number is #86223. Also, I contacted support on 04 March but got no response.",Unknown,High,PowerMax Battery,ordered powermax battery got photosnap cam instead order number also contacted support march got response,143
441,Order #81531 for RoboChef Blender is 3 days late. Ordered on 10 May.,Late Delivery,Medium,RoboChef Blender,order robochef blender day late ordered may,68
442,"I ordered Vision LED TV but got ProTab X1 instead. My order number is #74519. Also, I contacted support on 28 March but got no response.",Wrong Item,Low,Vision LED TV,ordered vision led tv got protab x instead order number also contacted support march got response,136
443,"Can you tell me more about teh  warranty? Also, is it available in red?",General Inquiry,Low,PowerMax Battery,tell teh warranty also available red,71
444,I ordered  but got FitRun Treadmill instead. My order number is #78628.,Wrong Item,Medium,Vision LED TV,ordered got fitrun treadmill instead order number,71
445,I ordered PowerMax Battery but got Vision LED TV instead. My order number is #26037.,Wrong Item,Medium,PowerMax Battery,ordered powermax battery got vision led tv instead order number,84
446,Facing installation issue with PowerMax Battery. Setup fails at step 4.,Installation Issue,Medium,PowerMax Battery,facing installation issue powermax battery setup fails step,71
447,I ordered UltraClean Vacuum but got FitRun Treadmill instead. My order number is #10191. Delivery expected by 07 May.,Wrong Item,High,UltraClean Vacuum,ordered ultraclean vacuum got fitrun treadmill instead order number delivery expected may,117
448,Facing installation issue with . Setup fails at step 4.,Installation Issue,Low,PowerMax Battery,facing installation issue setup fails step,55
449,Can't log in to my account. Keeps showing error. Help!,Unknown,High,PowerMax Battery,cant log account keep showing error help,54
450,Order #90934 placed on 29 April still not here.,Late Delivery,Medium,RoboChef Blender,order placed april still,47
451,"Can you tell me more about the SmartWatch V2 warranty? Also, is it available in white?",General Inquiry,Unknown,SmartWatch V2,tell smartwatch v warranty also available white,86
452,Facing installation issue with Vision LED TV. Setup fails at step 6.,Installation Issue,Medium,Vision LED TV,facing installation issue vision led tv setup fails step,68
453,,Installation Issue,Unknown,SmartWatch V2,,0
454,Vision LED TV is missing. It stopped working after just 6 days.,Product Defect,Medium,Vision LED TV,vision led tv missing stopped working day,63
455,SmartWatch V2 is not received. It stopped working after just 12 days.,Product Defect,Low,SmartWatch V2,smartwatch v received stopped working day,69
456,Facing installation issue with PowerMax Battery. Setup fails at step 4.,Installation Issue,Medium,PowerMax Battery,facing installation issue powermax battery setup fails step,71
457,,General Inquiry,Low,UltraClean Vacuum,,0
458,Can't log in to my account. Keeps showing blocked. Help! Delivery expected by 08 March.,Account Access,Medium,UltraClean Vacuum,cant log account keep showing blocked help delivery expected march,87
459,,Late Delivery,Low,PhotoSnap Cam,,0
460,Facing installation issue with PhotoSnap Cam. Setup fails at step 2.,Installation Issue,High,PhotoSnap Cam,facing installation issue photosnap cam setup fails step,68
461,PhotoSnap Cam is not working. It stopped working after just 11 days.,Product Defect,Medium,PhotoSnap Cam,photosnap cam working stopped working day,68
462,Product info needed.,General Inquiry,Low,UltraClean Vacuum,product info needed,20
463,"Can you tell me more about the EcoBreeze AC warranty? Also, is it available in white? Also, I contacted support on 18 May but got no response.",General Inquiry,Medium,EcoBreeze AC,tell ecobreeze ac warranty also available white also contacted support may got response,142
464,Can't log in to mi account. Keeps showing captcha failed. Help!,Account Access,Low,SoundWave 300,cant log mi account keep showing captcha failed help,63
465,"SoundWave 300 is broken. It stopped working after just 5 days. Also, I contacted support on 18 April but got no response.",Product Defect,High,SoundWave 300,soundwave broken stopped working day also contacted support april got response,121
466,Product info needed. Delivery expected by 23 April.,General Inquiry,High,FitRun Treadmill,product info needed delivery expected april,51
467,Order #43089 for Vision LED TV is 17 days late. Ordered on 16 May.,Unknown,Medium,Vision LED TV,order vision led tv day late ordered may,66
468,Order #29186 fr PowerMax Battery is 4 days late. Ordered on 23 April.,Late Delivery,Medium,PowerMax Battery,order fr powermax battery day late ordered april,69
469,"ProTab X1 is not received. It stopped working after just 6 days. Also, I contacted support on 23 March but got no response.",Product Defect,Low,ProTab X1,protab x received stopped working day also contacted support march got response,123
470,"Payment issue for my UltraClean Vacuum. I was overbilled for order #88996. Also, I contacted support on 15 May but got no response.",Billing Problem,Unknown,UltraClean Vacuum,payment issue ultraclean vacuum overbilled order also contacted support may got response,131
471,Want to know more about warranty.,General Inquiry,Low,UltraClean Vacuum,want know warranty,33
472,Facing installation issue with RoboChef Blender. Setup fails at step 1.,Installation Issue,Low,RoboChef Blender,facing installation issue robochef blender setup fails step,71
473,ProTab X1 is glitchy. It stopped working after just 4 days.,Product Defect,Low,ProTab X1,protab x glitchy stopped working day,59
474,"Can you tell me more about the  warranty? Also, is it available in red? Also, I contacted support on 29 March but got no response. Delivery expected by 29 March.",General Inquiry,High,PowerMax Battery,tell warranty also available red also contacted support march got response delivery expected march,161
475,"Payment issue for my . I was underbilled for order #99130. Also, I contacted support on 20 April but got no response.",Billing Problem,High,EcoBreeze AC,payment issue underbilled order also contacted support april got response,117
476,Order #49096 for SmartWatch V2 is 1 days late. Ordered on 12 May.,Late Delivery,High,SmartWatch V2,order smartwatch v day late ordered may,65
477,Order #38602 for SoundWave 300 is 16 days late. Ordered on 09 March.,Late Delivery,Medium,SoundWave 300,order soundwave day late ordered march,68
478,Payment issue for my . I was overbilled for order #32281.,Billing Problem,Low,UltraClean Vacuum,payment issue overbilled order,57
479,Can't log in to mi account. Keeps showing error. Help!,Unknown,Medium,PowerMax Battery,cant log mi account keep showing error help,54
480,Facing installation issue with PowerMax Battery. Setup fails at step 3.,Installation Issue,Unknown,PowerMax Battery,facing installation issue powermax battery setup fails step,71
481,Facing installation issue with Vision LED TV. Setup fails at step 1.,Installation Issue,High,Vision LED TV,facing installation issue vision led tv setup fails step,68
482,"Both my  and SoundWave 300 are lost. Both giving issues. Also, I contacted support on 11 May but got no response.",Product Defect,Low,SoundWave 300,soundwave lost giving issue also contacted support may got response,113
483,"Facing installation issue with ProTab X1. Setup fails at step 5. Also, I contacted support on 28 March but got no response.",Installation Issue,High,ProTab X1,facing installation issue protab x setup fails step also contacted support march got response,123
484,Can't log in to my account. Keeps showing error. Help!,Account Access,Medium,PowerMax Battery,cant log account keep showing error help,54
485,,Billing Problem,Low,UltraClean Vacuum,,0
486,Facing installation issue with RoboChef Blender. Setup fails at step 1.,Installation Issue,Low,RoboChef Blender,facing installation issue robochef blender setup fails step,71
487,"Payment issue for my ProTab X1. I was overbilled for order #61880. Also, I contacted support on 11 April but got no response.",Billing Problem,Medium,ProTab X1,payment issue protab x overbilled order also contacted support april got response,125
488,,Installation Issue,High,RoboChef Blender,,0
489,Both my SmartWatch V2 and ProTab X1 are not received. Both giving issues.,Product Defect,High,SmartWatch V2,smartwatch v protab x received giving issue,73
490,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,High,ProTab X1,cant log account keep showing captcha failed help,63
491, is not received. It stopped working after just 12 days.,Product Defect,High,UltraClean Vacuum,received stopped working day,56
492,Login not working.,Unknown,Medium,RoboChef Blender,login working,18
493,Product info needed.,General Inquiry,Low,SoundWave 300,product info needed,20
494,Vision LED TV is no response. It stopped working after just 8 days.,Product Defect,High,Vision LED TV,vision led tv response stopped working day,67
495,"Can you tell me more about the UltraClean Vacuum warranty? Also, is it available in black? Also, I contacted support on 19 March but got no response.",General Inquiry,High,UltraClean Vacuum,tell ultraclean vacuum warranty also available black also contacted support march got response,149
496,Payment issue for my SoundWave 300. I was not refunded for order #49262.,Billing Problem,Unknown,SoundWave 300,payment issue soundwave refunded order,72
497,Order #47713 for UltraClean Vacuum is 6 days late. Ordered on 27 April.,Late Delivery,High,UltraClean Vacuum,order ultraclean vacuum day late ordered april,71
498,Can't log in to my account. Keeps showing blocked. Help! Delivery expected by 16 May.,Account Access,Medium,ProTab X1,cant log account keep showing blocked help delivery expected may,85
499,Can't log in to my account. Keeps showing unknown issue. Help!,Account Access,Medium,UltraClean Vacuum,cant log account keep showing unknown issue help,62
500,I ordered  but got FitRun Treadmill instead. My order number is #34023.,Wrong Item,Medium,Vision LED TV,ordered got fitrun treadmill instead order number,71
501,Can't log in to my account. Keeps showing unknown issue. Help!,Account Access,High,ProTab X1,cant log account keep showing unknown issue help,62
502,Can't access mi account.,Account Access,Low,PhotoSnap Cam,cant access mi account,24
503,"Can you tell me more about the  warranty? Also, is it available in black?",General Inquiry,High,PhotoSnap Cam,tell warranty also available black,73
504,"Received wrong product, order mixed up.",Wrong Item,Medium,SmartWatch V2,received wrong product order mixed,39
505,Order #93543 placed on 16 March still not here.,Late Delivery,High,FitRun Treadmill,order placed march still,47
506,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,High,PowerMax Battery,cant log account keep showing captcha failed help,63
507,Facing installation issue with ProTab X1. Setup fails at step 5.,Installation Issue,High,ProTab X1,facing installation issue protab x setup fails step,64
508,Product info needed.,General Inquiry,High,PowerMax Battery,product info needed,20
509,Facing installation issue wit UltraClean Vacuum. Setup fails at step 2.,Installation Issue,High,UltraClean Vacuum,facing installation issue wit ultraclean vacuum setup fails step,71
510,Payment issue fr mi . I was charged twice fr order #35452.,Billing Problem,Low,Vision LED TV,payment issue fr mi charged twice fr order,58
511,,Wrong Item,High,SoundWave 300,,0
512,I ordered SoundWave 300 but got RoboChef Blender instead. My order number is #98840.,Wrong Item,Medium,SoundWave 300,ordered soundwave got robochef blender instead order number,84
513,Both my ProTab X1 and PowerMax Battery are lost. Both giving issues.,Product Defect,High,ProTab X1,protab x powermax battery lost giving issue,68
514,I ordered ProTab X1 but got PhotoSnap Cam instead. My order number is #85967.,Wrong Item,Low,ProTab X1,ordered protab x got photosnap cam instead order number,77
515,Can't log in to my account. Keeps showing unknown issue. Help!,Account Access,Low,FitRun Treadmill,cant log account keep showing unknown issue help,62
516,"Payment issue for my SoundWave 300. I was charged twice for order #52260. Also, I contacted support on 09 May but got no response.",Billing Problem,Low,SoundWave 300,payment issue soundwave charged twice order also contacted support may got response,130
517,FitRun Treadmill is not working. It stopped working after just 6 days.,Product Defect,Low,FitRun Treadmill,fitrun treadmill working stopped working day,70
518,Order #52552 placed on 14 March still not here. Delivery expected by 14 March.,Late Delivery,Medium,PhotoSnap Cam,order placed march still delivery expected march,78
519,"Can you tell me more about the  warranty? Also, is it available in red?",Unknown,Medium,UltraClean Vacuum,tell warranty also available red,71
520,I ordered FitRun Treadmill but got PhotoSnap Cam instead. My order number is #67065. Delivery expected by 20 April.,Wrong Item,High,FitRun Treadmill,ordered fitrun treadmill got photosnap cam instead order number delivery expected april,115
521,"Can you tell me more about the SmartWatch V2 warranty? Also, is it available in black?",General Inquiry,Medium,SmartWatch V2,tell smartwatch v warranty also available black,86
522,Can't log in to my account. Keeps showing error. Help!,Account Access,Low,SoundWave 300,cant log account keep showing error help,54
523,FitRun Treadmill is stuck. It stopped working after just 10 days.,Product Defect,High,FitRun Treadmill,fitrun treadmill stuck stopped working day,65
524,,General Inquiry,Medium,PowerMax Battery,,0
525,"I ordered UltraClean Vacuum but got PowerMax Battery instead. My order number is #31724. Also, I contacted support on 15 May but got no response. Delivery expected by 15 May.",Wrong Item,High,UltraClean Vacuum,ordered ultraclean vacuum got powermax battery instead order number also contacted support may got response delivery expected may,174
526,"Can you tell me more about the PhotoSnap Cam warranty? Also, is it available in red?",General Inquiry,High,PhotoSnap Cam,tell photosnap cam warranty also available red,84
527, is stuck. It stopped working after just 6 days.,Product Defect,Medium,PhotoSnap Cam,stuck stopped working day,48
528,Payment issue for my ProTab X1. I was charged twice for order #79550.,Billing Problem,Low,ProTab X1,payment issue protab x charged twice order,69
529,ProTab X1 is missing. It stopped working after just 2 days.,Product Defect,High,ProTab X1,protab x missing stopped working day,59
530,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,Unknown,FitRun Treadmill,cant log account keep showing captcha failed help,63
531,Not able to install my product.,Installation Issue,Medium,EcoBreeze AC,able install product,31
532,Facing installation issue wit . Setup fails at step 6.,Installation Issue,High,Vision LED TV,facing installation issue wit setup fails step,54
533,Payment issue for my FitRun Treadmill. I was not refunded for order #87628.,Billing Problem,High,FitRun Treadmill,payment issue fitrun treadmill refunded order,75
534,"Can you tell me more about the SmartWatch V2 warranty? Also, is it available in red?",General Inquiry,High,SmartWatch V2,tell smartwatch v warranty also available red,84
535,Facing installation issue with EcoBreeze AC. Setup fails at step 6. Delivery expected by 05 March.,Installation Issue,Low,EcoBreeze AC,facing installation issue ecobreeze ac setup fails step delivery expected march,98
536,RoboChef Blender is not received. It stopped working after just 8 days.,Product Defect,Low,RoboChef Blender,robochef blender received stopped working day,71
537,"Can you tell me more about the  warranty? Also, is it available in red?",Unknown,Medium,Vision LED TV,tell warranty also available red,71
538,Payment issue for my PhotoSnap Cam. I was charged twice for order #81690.,Billing Problem,Medium,PhotoSnap Cam,payment issue photosnap cam charged twice order,73
539,I ordered RoboChef Blender but got PhotoSnap Cam instead. My order number is #39514.,Wrong Item,Low,RoboChef Blender,ordered robochef blender got photosnap cam instead order number,84
540,"SoundWave 300 is stuck. It stopped working after just 4 days. Also, I contacted support on 01 April but got no response. Delivery expected by 01 April.",Product Defect,High,SoundWave 300,soundwave stuck stopped working day also contacted support april got response delivery expected april,151
541,Order #18704 for  is 5 days late. Ordered on 02 May.,Late Delivery,High,PhotoSnap Cam,order day late ordered may,52
542,Both mi SoundWave 300 and RoboChef Blender are broken. Both giving issues.,Product Defect,High,SoundWave 300,mi soundwave robochef blender broken giving issue,74
543,Facing installation issue with ProTab X1. Setup fails at step 3.,Installation Issue,High,ProTab X1,facing installation issue protab x setup fails step,64
544,Order #75682 for FitRun Treadmill is 14 days late. Ordered on 06 March.,Late Delivery,Medium,FitRun Treadmill,order fitrun treadmill day late ordered march,71
545,"Can't log in to mi account. Keeps showing blocked. Help! Also, I contacted support on 12 April but got no response.",Account Access,Low,Vision LED TV,cant log mi account keep showing blocked help also contacted support april got response,115
546,"Login not working. Also, I contacted support on 23 April but got no response.",Account Access,Medium,PhotoSnap Cam,login working also contacted support april got response,77
547,Login not working.,Unknown,High,FitRun Treadmill,login working,18
548,I ordered SoundWave 300 but got FitRun Treadmill instead. My order number is #64523.,Wrong Item,Unknown,SoundWave 300,ordered soundwave got fitrun treadmill instead order number,84
549,"Both my FitRun Treadmill and RoboChef Blender are lost. Both giving issues. Also, I contacted support on 21 March but got no response.",Product Defect,Medium,FitRun Treadmill,fitrun treadmill robochef blender lost giving issue also contacted support march got response,134
550,"Both my PhotoSnap Cam and SoundWave 300 are late. Both giving issues. Also, I contacted support on 19 April but got no response.",Unknown,High,PhotoSnap Cam,photosnap cam soundwave late giving issue also contacted support april got response,128
551,Facing installation issue wit . Setup fails at step 1.,Installation Issue,High,ProTab X1,facing installation issue wit setup fails step,54
552,Product info needed.,General Inquiry,High,Vision LED TV,product info needed,20
553,"Can you tell me more about the  warranty? Also, is it available in blue?",General Inquiry,Low,RoboChef Blender,tell warranty also available blue,72
554,"Can't log in to my account. Keeps showing captcha failed. Help! Also, I contacted support on 14 March but got no response.",Account Access,Low,ProTab X1,cant log account keep showing captcha failed help also contacted support march got response,122
555,I ordered  but got Vision LED TV instead. My order number is #53713.,Wrong Item,Low,SoundWave 300,ordered got vision led tv instead order number,68
556,Facing installation issue with . Setup fails at step 5.,Installation Issue,Medium,EcoBreeze AC,facing installation issue setup fails step,55
557,Want to know more about warranty.,General Inquiry,High,RoboChef Blender,want know warranty,33
558,,Billing Problem,Low,ProTab X1,,0
559,I ordered  but got PowerMax Battery instead. My order number is #79728.,Wrong Item,High,RoboChef Blender,ordered got powermax battery instead order number,71
560,"Received wrong product, order mixed up.",Wrong Item,High,ProTab X1,received wrong product order mixed,39
561,"Can you tell me more about the EcoBreeze AC warranty? Also, is it available in black?",General Inquiry,High,EcoBreeze AC,tell ecobreeze ac warranty also available black,85
562,Order #69180 placed on 30 April still not here.,Late Delivery,High,EcoBreeze AC,order placed april still,47
563,Can't log in to my account. Keeps showing blocked. Help!,Account Access,Medium,EcoBreeze AC,cant log account keep showing blocked help,56
564,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,Medium,FitRun Treadmill,cant log account keep showing captcha failed help,63
565,Payment issue for my . I was charged twice for order #65495.,Billing Problem,Medium,RoboChef Blender,payment issue charged twice order,60
566,Order #13273 fr SmartWatch V2 is 5 days late. Ordered on 09 April.,Late Delivery,Medium,SmartWatch V2,order fr smartwatch v day late ordered april,66
567,"Login not working. Also, I contacted support on 02 May but got no response.",Account Access,Low,SoundWave 300,login working also contacted support may got response,75
568, is missing. It stopped working after just 11 days.,Unknown,Medium,Vision LED TV,missing stopped working day,51
569, is wrong item. It stopped working after just 4 days.,Product Defect,Medium,Vision LED TV,wrong item stopped working day,53
570,I ordered ProTab X1 but got ProTab X1 instead. My order number is #50088.,Wrong Item,Low,ProTab X1,ordered protab x got protab x instead order number,73
571,Facing installation issue with SmartWatch V2. Setup fails at step 1.,Installation Issue,High,SmartWatch V2,facing installation issue smartwatch v setup fails step,68
572,"I ordered ProTab X1 but got SmartWatch V2 instead. My order number is #44044. Also, I contacted support on 15 April but got no response.",Wrong Item,High,ProTab X1,ordered protab x got smartwatch v instead order number also contacted support april got response,136
573,"Can you tell me more about the RoboChef Blender warranty? Also, is it available in blue?",General Inquiry,Medium,RoboChef Blender,tell robochef blender warranty also available blue,88
574,"Facing installation issue with SoundWave 300. Setup fails at step 3. Also, I contacted support on 02 March but got no response.",Installation Issue,High,SoundWave 300,facing installation issue soundwave setup fails step also contacted support march got response,127
575,I ordered  but got UltraClean Vacuum instead. My order number is #51296.,Wrong Item,High,FitRun Treadmill,ordered got ultraclean vacuum instead order number,72
576,Order #51854 fr RoboChef Blender is 8 days late. Ordered on 10 March.,Late Delivery,Low,RoboChef Blender,order fr robochef blender day late ordered march,69
577,,Wrong Item,Medium,RoboChef Blender,,0
578,"Can you tell me more about teh  warranty? Also, is it available in white? Also, I contacted support on 14 April but got no response.",General Inquiry,Medium,SmartWatch V2,tell teh warranty also available white also contacted support april got response,132
579,"Payment issue for my . I was overbilled for order #26196. Also, I contacted support on 02 May but got no response.",Billing Problem,High,UltraClean Vacuum,payment issue overbilled order also contacted support may got response,114
580,Facing installation issue with RoboChef Blender. Setup fails at step 3.,Installation Issue,Low,RoboChef Blender,facing installation issue robochef blender setup fails step,71
581, is error. It stopped working after just 4 days.,Product Defect,Low,PhotoSnap Cam,error stopped working day,48
582,"Can you tell me more about the  warranty? Also, is it available in red?",General Inquiry,Low,EcoBreeze AC,tell warranty also available red,71
583,"Payment issue for my . I was not refunded for order #18300. Also, I contacted support on 09 April but got no response.",Billing Problem,High,SmartWatch V2,payment issue refunded order also contacted support april got response,118
584,I ordered ProTab X1 but got FitRun Treadmill instead. My order number is #60022.,Wrong Item,Unknown,ProTab X1,ordered protab x got fitrun treadmill instead order number,80
585,Can't log in to my account. Keeps showing reset required. Help!,Account Access,Medium,UltraClean Vacuum,cant log account keep showing reset required help,63
586,"Facing installation issue with PhotoSnap Cam. Setup fails at step 4. Also, I contacted support on 24 April but got no response.",Installation Issue,Medium,PhotoSnap Cam,facing installation issue photosnap cam setup fails step also contacted support april got response,127
587,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,Medium,UltraClean Vacuum,cant log account keep showing captcha failed help,63
588,Payment issue for my ProTab X1. I was charged twice for order #14766.,Billing Problem,Medium,ProTab X1,payment issue protab x charged twice order,69
589,"Can you tell me more about the PhotoSnap Cam warranty? Also, is it available in red? Delivery expected by 02 May.",General Inquiry,Medium,PhotoSnap Cam,tell photosnap cam warranty also available red delivery expected may,113
590,Account problem. Assistance needed.,Account Access,High,PowerMax Battery,account problem assistance needed,35
591,Payment issue fr mi SoundWave 300. I was charged twice fr order #95164.,Billing Problem,Low,SoundWave 300,payment issue fr mi soundwave charged twice fr order,71
592,Order #42651 for PowerMax Battery is 10 days late. Ordered on 30 March.,Late Delivery,High,PowerMax Battery,order powermax battery day late ordered march,71
593,Facing installation issue with UltraClean Vacuum. Setup fails at step 1.,Installation Issue,Medium,UltraClean Vacuum,facing installation issue ultraclean vacuum setup fails step,72
594,Can't log in to mi account. Keeps showing unknown issue. Help!,Account Access,Low,PhotoSnap Cam,cant log mi account keep showing unknown issue help,62
595,"Can you tell me more about the FitRun Treadmill warranty? Also, is it available in black?",General Inquiry,Low,FitRun Treadmill,tell fitrun treadmill warranty also available black,89
596,Payment issue for my Vision LED TV. I was not refunded for order #14501.,Billing Problem,Low,Vision LED TV,payment issue vision led tv refunded order,72
597,Order #31539 for EcoBreeze AC is 14 days late. Ordered on 08 May.,Late Delivery,High,EcoBreeze AC,order ecobreeze ac day late ordered may,65
598,Can't log in to my account. Keeps showing reset required. Help!,Account Access,High,RoboChef Blender,cant log account keep showing reset required help,63
599,Facing installation issue with PhotoSnap Cam. Setup fails at step 5.,Installation Issue,Medium,PhotoSnap Cam,facing installation issue photosnap cam setup fails step,68
600,"Can you tell me more about the FitRun Treadmill warranty? Also, is it available in red?",General Inquiry,Low,FitRun Treadmill,tell fitrun treadmill warranty also available red,87
601,Can't log in to my account. Keeps showing blocked. Help!,Account Access,Medium,SoundWave 300,cant log account keep showing blocked help,56
602,Order #48317 for PhotoSnap Cam is 12 days late. Ordered on 03 May.,Late Delivery,High,PhotoSnap Cam,order photosnap cam day late ordered may,66
603,Can't log in to my account. Keeps showing unknown issue. Help!,Account Access,High,FitRun Treadmill,cant log account keep showing unknown issue help,62
604,EcoBreeze AC is lost. It stopped working after just 9 days. Delivery expected by 20 March.,Product Defect,Medium,EcoBreeze AC,ecobreeze ac lost stopped working day delivery expected march,90
605,Facing installation issue with Vision LED TV. Setup fails at step 5.,Installation Issue,Low,Vision LED TV,facing installation issue vision led tv setup fails step,68
606,Payment issue for my . I was not refunded for order #55840.,Billing Problem,Medium,PhotoSnap Cam,payment issue refunded order,59
607,Facing installation issue with PowerMax Battery. Setup fails at step 3.,Installation Issue,Low,PowerMax Battery,facing installation issue powermax battery setup fails step,71
608,Not able to install my product.,Installation Issue,Medium,Vision LED TV,able install product,31
609,Facing installation issue with . Setup fails at step 4.,Installation Issue,Medium,SoundWave 300,facing installation issue setup fails step,55
610,Can't log in to my account. Keeps showing error. Help!,Account Access,Medium,FitRun Treadmill,cant log account keep showing error help,54
611,Is this item in stock?,General Inquiry,Unknown,PhotoSnap Cam,item stock,22
612,Vision LED TV is defective. It stopped working after just 10 days.,Product Defect,Unknown,Vision LED TV,vision led tv defective stopped working day,66
613,I ordered ProTab X1 but got RoboChef Blender instead. My order number is #56484.,Wrong Item,Medium,ProTab X1,ordered protab x got robochef blender instead order number,80
614,"Can you tell me more about the UltraClean Vacuum warranty? Also, is it available in white?",General Inquiry,Medium,UltraClean Vacuum,tell ultraclean vacuum warranty also available white,90
615,RoboChef Blender is faulty. It stopped working after just 10 days.,Product Defect,High,RoboChef Blender,robochef blender faulty stopped working day,66
616,Payment issue for my SoundWave 300. I was underbilled for order #34614.,Billing Problem,High,SoundWave 300,payment issue soundwave underbilled order,71
617,"Can you tell me more about the RoboChef Blender warranty? Also, is it available in blue?",General Inquiry,Low,RoboChef Blender,tell robochef blender warranty also available blue,88
618,"Order #38284 for RoboChef Blender is 7 days late. Ordered on 24 March. Also, I contacted support on 24 March but got no response.",Unknown,Low,RoboChef Blender,order robochef blender day late ordered march also contacted support march got response,129
619,Order #17506 for EcoBreeze AC is 8 days late. Ordered on 16 April.,Late Delivery,High,EcoBreeze AC,order ecobreeze ac day late ordered april,66
620,Can't log in to my account. Keeps showing unknown issue. Help!,Account Access,High,EcoBreeze AC,cant log account keep showing unknown issue help,62
